//ARGV is (#(ARGV.count)) ["eaton_firstRun.adjtime.txt"]
fileInPath = eaton_firstRun.adjtime.txt
// Reading input file...
    1 #         1         2         3
    2 #12345678901234567890123456789012
   66 00792F 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   67 007988 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   68 00798D 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
   69 0079E1 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   70 007A43 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   71 007A92 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   72 007AEB 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   73 007B46 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   74 007B9D 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   75 007BF6 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   76 007C4F 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   77 007CA7 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   78 007D00 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   79 007D06 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
   80 007D59 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   81 007DBE 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   82 007E0B 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   83 007E64 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   84 007EBD 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   85 007F16 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   86 007F6E 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   87 007FC8 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   88 008020 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   89 008079 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   90 00807F 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
   91 0080D2 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   92 008135 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   93 008184 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   94 0081DD 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   95 008235 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   96 00828E 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   97 0082E7 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   98 008340 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   99 008399 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  100 0083F2 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  101 0083F7 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  102 00844B 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  103 0084B0 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  104 0084FC 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  105 008555 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  106 0085AE 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  107 008607 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  108 008660 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  109 0086B9 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  110 008712 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  111 00876A 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  112 008770 18F00503 08 E00000E0204E0000 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  113 0087C6 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  114 008826 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  115 008876 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  116 0088CF 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  117 00892C 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  118 008981 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  119 0089DA 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  120 008A33 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  121 008A8E 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  122 008AE5 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  123 008AEA 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  124 008B3D 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  125 008BA1 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  126 008BF2 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  127 008C48 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  128 008CA1 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  129 008CFA 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  130 008D55 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  131 008DAC 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  132 008E04 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  133 008E5D 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  134 008E63 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  135 008EB9 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  136 008F19 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
